id,energy,valence,danceability
5DiXcVovI0FcY2s0icWWUu,0.8170000000000001,0.726,0.578
6264zKFgXM13JuRBX4MMyD,0.826,0.341,0.328
6MM22AtXB7I5gfTErMF0mJ,0.0887,0.356,0.398
4LpOPF5RXZhS1GLzclhyaT,0.7659999999999999,0.453,0.594
7u5dBtASrtOuBTTZjJrvuJ,0.925,0.301,0.364
33iv3wnGMrrDugd7GBso1z,0.946,0.741,0.494
1HOMkjp0nHMaTnfAkslCQj,0.7,0.897,0.586
29pQasEiyy3Otgq55dzyTt,0.882,0.296,0.563
1Lq9ieTRd9TtXXBh5y63E6,0.56,0.414,0.665
2cRD4yq8e8wd6PxS0zhuW3,0.0181,0.16,0.378
4cLXtRF6cIFGcuid2OLyUU,0.723,0.412,0.6559999999999999
5vckEy9NZ6kirDU4UX4bVl,0.85,0.528,0.5870000000000001
5llPdGZJjJFJv9aL6ZaiLY,0.765,0.117,0.534
4zRkmGHVgGGnJMhemMXD6I,0.245,0.356,0.764
7D04SRPxcqHXjoK0YFPuAq,0.00129,0.13,0.428
6UBjSnyP1O5W5ndJoO9vUk,0.743,0.374,0.705
0kox8HaEK0EfeWcNVTOKTy,0.00977,0.13,0.211
2OAOS8qkuKu5Kd8TvA5BAA,0.494,0.136,0.268
7LgkgNtOYgWfSJsGgDXFop,0.967,0.134,0.541
0melIwOKh1JH4RjI1Is10w,0.583,0.67,0.509
73SpzrcaHk0RQPFP73vqVR,0.219,0.0517,0.38
1CLmFKW99S8eJrebO3GB04,0.4,0.433,0.581
46SWSNRB3oAAOu21Apj22z,0.178,0.442,0.877
3AtuVA6OJB7ZxBbMfA5qYx,0.0155,0.119,0.522
32dZxkZtsF5Vt3PrJQuV2i,0.346,0.23,0.479
7tx0NDsCViutjOyd1c4A28,0.721,0.267,0.68
08EI81e55Lcqg2ZelJOXcG,0.914,0.393,0.511
7Cia4WzapwjMr0NUQF8vf3,0.48,0.2,0.404
2jdeYpaoWR0VMIyKrgQMQE,0.014,0.144,0.187
5P8BZ67Vw2CUwAYi12yvYj,0.14,0.154,0.286
15VDHAMS4JCLziCjNkmQl1,0.306,0.201,0.44
2fgMzSoDaPrU4EYsrkAwVn,0.523,0.0697,0.284
0kDTkI3VN3LEObv3v3ehhY,0.93,0.3670000000000001,0.6609999999999999
0Ov2L3hgjc5TlxKuBpKOQK,0.897,0.183,0.62
5Q0VxlFh80F3LmbGnuDE4M,0.969,0.26,0.6809999999999999
